id,region_id,crop_id,soil_id,Rainfall_mm,Temperature_Celsius,Fertilizer_Used,Irrigation_Used,Weather_Condition,Days_to_Harvest,Yield_tons_per_hectare
1,1,1,1,714.854403349598,23.875872058997384,False,False,Sunny,120,3.8409878810017286
2,2,1,2,860.6046720088199,23.070897351863977,False,False,Rainy,78,5.138173109841151
3,2,2,3,802.0819536513903,24.020124978062,True,True,Rainy,140,6.401523036208163
4,1,1,2,203.61690864475787,16.895210531075648,False,True,Sunny,96,2.658805472842124
5,3,3,1,510.528101667994,18.402902789856928,False,True,Cloudy,65,2.79770254959083
6,1,3,4,932.7185584596132,32.81576957297494,True,False,Sunny,89,7.6916313486684285
7,1,1,4,668.8944717790692,30.55802956904161,True,True,Cloudy,147,6.338488175236404
8,1,4,5,568.5755788466173,31.83516647772604,True,True,Rainy,98,5.495826057137791
9,4,1,6,946.2789457405856,21.07797808744277,True,True,Sunny,103,9.076387626376471
10,4,4,6,406.8835358372541,28.81330570970953,False,True,Rainy,137,3.970273044331764
11,3,1,2,829.9391169947618,39.61914317671076,True,False,Cloudy,72,5.834142180380631
12,3,4,5,903.8470023026885,24.37711569579914,True,True,Rainy,85,7.379367603312026
13,2,5,4,551.9700259402287,29.248393067922315,False,False,Rainy,119,3.7929824660466913
14,1,4,2,382.3950712551181,32.55968855376502,False,False,Sunny,116,1.9874338429744447
15,3,4,4,598.4940917227217,32.17237835856965,True,False,Sunny,61,4.681317141454919
16,3,6,4,578.8307826481574,33.32084858108362,False,False,Rainy,142,3.659097625581994
17,3,5,5,985.7745029587604,17.676845250430777,True,False,Sunny,95,6.641804844466436
18,2,5,5,565.9297778686675,16.93304695741652,True,False,Rainy,78,4.5742829034014285
19,4,3,2,856.0732014126453,24.784855986329195,False,True,Sunny,113,5.656460275863501
20,4,4,6,296.7691903569821,39.28759597089976,True,True,Rainy,145,4.7688631529862615
21,2,3,4,684.2007127417044,20.11190983732296,False,False,Cloudy,119,4.068367651895656
22,4,4,5,679.4738981441574,29.55774874738957,False,False,Cloudy,124,4.610021417362765
23,4,1,4,605.0095753666751,18.2300113193138,True,True,Rainy,132,5.836409479207188
24,4,5,6,129.29941568787322,26.249396027598703,False,True,Sunny,69,2.1591597601591586
25,3,2,3,688.7117150201489,27.84678442017443,True,False,Rainy,61,5.4269431143393305
26,1,5,6,968.534766459958,16.17812323363693,False,False,Rainy,78,5.333164346037147
27,3,5,4,749.8953764803994,23.577673962084155,True,False,Sunny,142,5.006080641801262
28,1,5,2,837.1722565993164,30.38538115568037,True,True,Cloudy,129,7.948333708590442
29,4,4,1,510.3929478376458,22.135443506025485,True,True,Rainy,106,5.288661994266052
30,4,1,1,396.0686523253105,26.64094585266929,False,False,Cloudy,102,3.062715010670826
31,2,3,2,251.62289344616823,32.30294185843249,True,False,Rainy,105,3.3495459281017
32,3,6,5,371.3044226957928,27.48032362282592,False,False,Cloudy,116,2.508357500078982
33,1,2,2,619.9328159088507,26.607541284105743,False,False,Sunny,100,4.007102135451593
34,1,4,4,661.7422307878304,26.76190916261221,True,False,Cloudy,70,4.94189002392673
35,3,4,1,787.9139004465743,22.070193404773136,False,True,Cloudy,67,4.69574942327179
36,3,2,6,190.2175433919944,33.12527843785537,True,True,Rainy,95,4.268621499217973
37,2,1,2,620.5334065642297,15.8435893880666,True,False,Cloudy,110,4.488988499741849
38,2,6,6,504.2503158042574,28.49156540302141,False,True,Sunny,119,4.616115452723236
39,1,5,4,536.2215955954575,17.139919584055853,True,True,Rainy,121,5.506990506874174
40,4,1,3,521.390621564386,37.55539064260187,False,False,Cloudy,128,3.54159306030983
41,4,6,4,476.251199643757,28.43972712243346,False,False,Rainy,75,3.116492047181977
42,1,4,4,125.98872751499296,30.936341524388133,True,False,Sunny,101,3.3236648331735568
43,3,6,6,933.2396055135948,19.399325249481805,True,True,Cloudy,133,7.642995067940222
44,3,3,5,898.6082966415988,17.720889334463696,False,True,Cloudy,112,6.168579308502012
45,4,4,2,175.68490913733535,23.666788641459632,False,True,Rainy,74,3.0096238503788344
46,3,4,3,142.85601087365018,19.44004945902988,True,True,Cloudy,109,3.581876547298184
47,4,3,2,901.410672580583,24.06379728474161,True,False,Sunny,136,5.833554577268345
48,4,6,1,983.3459569442084,21.48433410338893,True,True,Rainy,79,8.046284704837639
49,3,3,3,936.376519063522,30.352048648822624,True,False,Cloudy,62,7.019772259990448
50,1,4,3,721.0714310748876,23.25350956934139,True,False,Sunny,97,5.9275669301560345
51,2,6,6,386.08139054359,30.631465861083186,True,False,Cloudy,108,4.8720500853373725
52,4,3,6,213.87817590704725,23.00952300850196,False,True,Rainy,105,2.621372221672292
53,4,6,4,663.1414418305111,32.67027732653828,True,False,Rainy,104,5.696844003102885
54,3,2,6,345.9264397547239,31.812286815273087,False,False,Rainy,132,2.9346887998289635
55,4,2,5,564.4769951143544,31.662437131648623,True,True,Rainy,69,6.121342685903178
56,3,1,2,350.61336429430565,20.4376613085906,True,True,Sunny,102,4.146736379457685
57,4,4,5,791.4465656674205,34.650387593820255,False,False,Sunny,94,5.507630811232189
58,3,2,3,801.8496148938277,24.50208260674107,True,True,Sunny,97,7.470422678076664
59,4,3,2,846.245938645059,28.10286811040577,True,True,Sunny,143,7.921859041018656
60,3,2,3,709.5827578508786,25.43035437501926,False,True,Cloudy,107,5.509908084125562
61,4,4,6,864.7701694380395,31.69643410811312,False,False,Cloudy,106,4.381568998088253
62,1,6,1,464.98483239410194,33.596377433373405,False,True,Sunny,87,4.826356041706259
63,4,2,2,470.7622709413941,33.737299629740505,True,True,Rainy,75,6.0661944527098095
64,1,2,6,248.7277877210412,30.039783121000056,True,True,Rainy,103,3.846435088151896
65,1,6,2,274.4426976580311,34.13570364406665,False,True,Rainy,129,2.561614468432728
